[2017-04-28 12:58:55.852783] nw_src None nw_dst  10.0.0.9 | packet count 4 | byte count 392
[2017-04-28 12:58:55.855014] nw_src None nw_dst  10.0.0.7 | packet count 1 | byte count 98
[2017-04-28 12:59:05.817078] nw_src None nw_dst  10.0.0.1 | packet count 0 | byte count 0
[2017-04-28 12:59:05.822756] nw_src None nw_dst  10.0.0.2 | packet count 0 | byte count 0
[2017-04-28 12:59:05.826628] nw_src None nw_dst  10.0.0.3 | packet count 0 | byte count 0
[2017-04-28 12:59:05.831734] nw_src None nw_dst  10.0.0.4 | packet count 0 | byte count 0
[2017-04-28 12:59:05.838149] nw_src None nw_dst  10.0.0.6 | packet count 1 | byte count 98
[2017-04-28 12:59:05.843105] nw_src None nw_dst  10.0.0.5 | packet count 1 | byte count 98
[2017-04-28 12:59:05.847878] nw_src None nw_dst  10.0.0.8 | packet count 1 | byte count 98
[2017-04-28 12:59:05.850779] nw_src None nw_dst  10.0.0.9 | packet count 4 | byte count 392
[2017-04-28 12:59:05.857423] nw_src None nw_dst  10.0.0.7 | packet count 1 | byte count 98
[2017-04-28 12:59:15.817362] nw_src None nw_dst  10.0.0.1 | packet count 0 | byte count 0
[2017-04-28 12:59:15.824409] nw_src None nw_dst  10.0.0.2 | packet count 0 | byte count 0
[2017-04-28 12:59:15.830721] nw_src None nw_dst  10.0.0.3 | packet count 0 | byte count 0
[2017-04-28 12:59:15.833632] nw_src None nw_dst  10.0.0.4 | packet count 0 | byte count 0
[2017-04-28 12:59:15.843105] nw_src None nw_dst  10.0.0.6 | packet count 1 | byte count 98
[2017-04-28 12:59:15.845885] nw_src None nw_dst  10.0.0.5 | packet count 1 | byte count 98
[2017-04-28 12:59:15.850525] nw_src None nw_dst  10.0.0.8 | packet count 1 | byte count 98
[2017-04-28 12:59:15.853300] nw_src None nw_dst  10.0.0.9 | packet count 4 | byte count 392
[2017-04-28 12:59:15.859111] nw_src None nw_dst  10.0.0.7 | packet count 1 | byte count 98
[2017-04-28 12:59:25.817687] nw_src None nw_dst  10.0.0.1 | packet count 0 | byte count 0
[2017-04-28 12:59:25.824172] nw_src None nw_dst  10.0.0.2 | packet count 0 | byte count 0
[2017-04-28 12:59:25.829343] nw_src None nw_dst  10.0.0.3 | packet count 0 | byte count 0
[2017-04-28 12:59:25.834968] nw_src None nw_dst  10.0.0.4 | packet count 0 | byte count 0
[2017-04-28 12:59:25.843182] nw_src None nw_dst  10.0.0.6 | packet count 1 | byte count 98
[2017-04-28 12:59:25.846023] nw_src None nw_dst  10.0.0.5 | packet count 1 | byte count 98
[2017-04-28 12:59:25.850437] nw_src None nw_dst  10.0.0.8 | packet count 1 | byte count 98
[2017-04-28 12:59:25.854159] nw_src None nw_dst  10.0.0.9 | packet count 4 | byte count 392
[2017-04-28 12:59:25.860783] nw_src None nw_dst  10.0.0.7 | packet count 1 | byte count 98
[2017-04-28 12:59:35.820260] nw_src None nw_dst  10.0.0.1 | packet count 0 | byte count 0
[2017-04-28 12:59:35.825450] nw_src None nw_dst  10.0.0.2 | packet count 0 | byte count 0
[2017-04-28 12:59:35.830082] nw_src None nw_dst  10.0.0.3 | packet count 0 | byte count 0
[2017-04-28 12:59:35.836288] nw_src None nw_dst  10.0.0.4 | packet count 0 | byte count 0
[2017-04-28 12:59:35.844151] nw_src None nw_dst  10.0.0.6 | packet count 1 | byte count 98
[2017-04-28 12:59:35.846826] nw_src None nw_dst  10.0.0.5 | packet count 1 | byte count 98
[2017-04-28 12:59:35.850117] nw_src None nw_dst  10.0.0.8 | packet count 1 | byte count 98
[2017-04-28 12:59:35.853445] nw_src None nw_dst  10.0.0.9 | packet count 4 | byte count 392
[2017-04-28 12:59:35.857937] nw_src None nw_dst  10.0.0.7 | packet count 1 | byte count 98
[2017-04-28 12:59:45.819477] nw_src None nw_dst  10.0.0.1 | packet count 0 | byte count 0
[2017-04-28 12:59:45.825850] nw_src None nw_dst  10.0.0.2 | packet count 0 | byte count 0
[2017-04-28 12:59:45.830787] nw_src None nw_dst  10.0.0.3 | packet count 0 | byte count 0
[2017-04-28 12:59:45.836689] nw_src None nw_dst  10.0.0.4 | packet count 0 | byte count 0
[2017-04-28 12:59:45.850497] nw_src None nw_dst  10.0.0.6 | packet count 1 | byte count 98
[2017-04-28 12:59:45.852234] nw_src None nw_dst  10.0.0.5 | packet count 1 | byte count 98
[2017-04-28 12:59:45.854721] nw_src None nw_dst  10.0.0.8 | packet count 1 | byte count 98
[2017-04-28 12:59:45.858816] nw_src None nw_dst  10.0.0.9 | packet count 4 | byte count 392
[2017-04-28 12:59:45.862165] nw_src None nw_dst  10.0.0.7 | packet count 1 | byte count 98
[2017-04-28 12:59:55.819096] nw_src None nw_dst  10.0.0.1 | packet count 0 | byte count 0
[2017-04-28 12:59:55.824879] nw_src None nw_dst  10.0.0.2 | packet count 0 | byte count 0
[2017-04-28 12:59:55.831186] nw_src None nw_dst  10.0.0.3 | packet count 0 | byte count 0
[2017-04-28 12:59:55.836749] nw_src None nw_dst  10.0.0.4 | packet count 0 | byte count 0
[2017-04-28 12:59:55.845118] nw_src None nw_dst  10.0.0.5 | packet count 1 | byte count 98
[2017-04-28 12:59:55.848277] nw_src None nw_dst  10.0.0.6 | packet count 1 | byte count 98
[2017-04-28 12:59:55.856718] nw_src None nw_dst  10.0.0.8 | packet count 1 | byte count 98
[2017-04-28 12:59:55.859082] nw_src None nw_dst  10.0.0.9 | packet count 4 | byte count 392
[2017-04-28 12:59:55.863056] nw_src None nw_dst  10.0.0.7 | packet count 1 | byte count 98
[2017-04-28 13:00:05.819756] nw_src None nw_dst  10.0.0.1 | packet count 0 | byte count 0
[2017-04-28 13:00:05.827264] nw_src None nw_dst  10.0.0.2 | packet count 0 | byte count 0
[2017-04-28 13:00:05.832498] nw_src None nw_dst  10.0.0.3 | packet count 0 | byte count 0
[2017-04-28 13:00:05.838629] nw_src None nw_dst  10.0.0.4 | packet count 0 | byte count 0
[2017-04-28 13:00:05.847592] nw_src None nw_dst  10.0.0.6 | packet count 1 | byte count 98
[2017-04-28 13:00:05.851526] nw_src None nw_dst  10.0.0.5 | packet count 1 | byte count 98
[2017-04-28 13:00:05.853697] nw_src None nw_dst  10.0.0.8 | packet count 1 | byte count 98
[2017-04-28 13:00:05.857068] nw_src None nw_dst  10.0.0.9 | packet count 4 | byte count 392
[2017-04-28 13:00:05.861952] nw_src None nw_dst  10.0.0.7 | packet count 1 | byte count 98
[2017-04-28 13:00:15.820084] nw_src None nw_dst  10.0.0.1 | packet count 0 | byte count 0
[2017-04-28 13:00:15.827358] nw_src None nw_dst  10.0.0.2 | packet count 0 | byte count 0
[2017-04-28 13:00:15.832301] nw_src None nw_dst  10.0.0.3 | packet count 0 | byte count 0
[2017-04-28 13:00:15.838475] nw_src None nw_dst  10.0.0.4 | packet count 0 | byte count 0
[2017-04-28 13:00:15.846006] nw_src None nw_dst  10.0.0.6 | packet count 1 | byte count 98
[2017-04-28 13:00:15.847334] nw_src None nw_dst  10.0.0.5 | packet count 1 | byte count 98
[2017-04-28 13:00:15.857590] nw_src None nw_dst  10.0.0.9 | packet count 4 | byte count 392
[2017-04-28 13:00:15.859184] nw_src None nw_dst  10.0.0.8 | packet count 1 | byte count 98
[2017-04-28 13:00:15.864408] nw_src None nw_dst  10.0.0.7 | packet count 1 | byte count 98
[2017-04-28 13:00:25.820466] nw_src None nw_dst  10.0.0.1 | packet count 0 | byte count 0
[2017-04-28 13:00:25.828961] nw_src None nw_dst  10.0.0.2 | packet count 0 | byte count 0
[2017-04-28 13:00:25.833456] nw_src None nw_dst  10.0.0.3 | packet count 0 | byte count 0
[2017-04-28 13:00:25.839326] nw_src None nw_dst  10.0.0.4 | packet count 0 | byte count 0
[2017-04-28 13:00:25.846514] nw_src None nw_dst  10.0.0.6 | packet count 1 | byte count 98
[2017-04-28 13:00:25.849737] nw_src None nw_dst  10.0.0.5 | packet count 1 | byte count 98
[2017-04-28 13:00:25.853497] nw_src None nw_dst  10.0.0.8 | packet count 1 | byte count 98
[2017-04-28 13:00:25.854950] nw_src None nw_dst  10.0.0.9 | packet count 4 | byte count 392
[2017-04-28 13:00:25.863955] nw_src None nw_dst  10.0.0.7 | packet count 1 | byte count 98
[2017-04-28 13:00:35.820792] nw_src None nw_dst  10.0.0.1 | packet count 0 | byte count 0
[2017-04-28 13:00:35.828610] nw_src None nw_dst  10.0.0.2 | packet count 0 | byte count 0
[2017-04-28 13:00:35.833468] nw_src None nw_dst  10.0.0.3 | packet count 0 | byte count 0
[2017-04-28 13:00:35.837834] nw_src None nw_dst  10.0.0.4 | packet count 0 | byte count 0
[2017-04-28 13:00:35.844430] nw_src None nw_dst  10.0.0.6 | packet count 1 | byte count 98
[2017-04-28 13:00:35.846756] nw_src None nw_dst  10.0.0.5 | packet count 1 | byte count 98
[2017-04-28 13:00:35.853653] nw_src None nw_dst  10.0.0.8 | packet count 1 | byte count 98
[2017-04-28 13:00:35.856185] nw_src None nw_dst  10.0.0.9 | packet count 4 | byte count 392
[2017-04-28 13:00:35.863709] nw_src None nw_dst  10.0.0.7 | packet count 1 | byte count 98
[2017-04-28 13:00:45.821672] nw_src None nw_dst  10.0.0.1 | packet count 0 | byte count 0
[2017-04-28 13:00:45.827591] nw_src None nw_dst  10.0.0.2 | packet count 0 | byte count 0
[2017-04-28 13:00:45.833308] nw_src None nw_dst  10.0.0.3 | packet count 0 | byte count 0
[2017-04-28 13:00:45.838854] nw_src None nw_dst  10.0.0.4 | packet count 0 | byte count 0
[2017-04-28 13:00:45.846895] nw_src None nw_dst  10.0.0.6 | packet count 1 | byte count 98
[2017-04-28 13:00:45.848585] nw_src None nw_dst  10.0.0.5 | packet count 1 | byte count 98
[2017-04-28 13:00:45.856926] nw_src None nw_dst  10.0.0.8 | packet count 1 | byte count 98
[2017-04-28 13:00:45.858562] nw_src None nw_dst  10.0.0.9 | packet count 4 | byte count 392
[2017-04-28 13:00:45.865381] nw_src None nw_dst  10.0.0.7 | packet count 1 | byte count 98
[2017-04-28 13:00:55.821872] nw_src None nw_dst  10.0.0.1 | packet count 0 | byte count 0
[2017-04-28 13:00:55.829894] nw_src None nw_dst  10.0.0.2 | packet count 0 | byte count 0
[2017-04-28 13:00:55.835314] nw_src None nw_dst  10.0.0.3 | packet count 0 | byte count 0
[2017-04-28 13:00:55.841125] nw_src None nw_dst  10.0.0.4 | packet count 0 | byte count 0
[2017-04-28 13:00:55.850063] nw_src None nw_dst  10.0.0.6 | packet count 1 | byte count 98
[2017-04-28 13:00:55.854720] nw_src None nw_dst  10.0.0.5 | packet count 1 | byte count 98
[2017-04-28 13:00:55.858137] nw_src None nw_dst  10.0.0.8 | packet count 1 | byte count 98
[2017-04-28 13:00:55.866584] nw_src None nw_dst  10.0.0.9 | packet count 4 | byte count 392
[2017-04-28 13:00:55.869621] nw_src None nw_dst  10.0.0.7 | packet count 1 | byte count 98
[2017-04-28 13:01:05.822324] nw_src None nw_dst  10.0.0.1 | packet count 0 | byte count 0
[2017-04-28 13:01:05.829123] nw_src None nw_dst  10.0.0.2 | packet count 0 | byte count 0
[2017-04-28 13:01:05.834833] nw_src None nw_dst  10.0.0.3 | packet count 0 | byte count 0
[2017-04-28 13:01:05.842073] nw_src None nw_dst  10.0.0.4 | packet count 0 | byte count 0
[2017-04-28 13:01:05.848335] nw_src None nw_dst  10.0.0.6 | packet count 1 | byte count 98
[2017-04-28 13:01:05.850454] nw_src None nw_dst  10.0.0.5 | packet count 1 | byte count 98
[2017-04-28 13:01:05.854635] nw_src None nw_dst  10.0.0.8 | packet count 1 | byte count 98
[2017-04-28 13:01:05.859948] nw_src None nw_dst  10.0.0.9 | packet count 4 | byte count 392
[2017-04-28 13:01:05.868382] nw_src None nw_dst  10.0.0.7 | packet count 1 | byte count 98
[2017-04-28 13:01:15.822532] nw_src None nw_dst  10.0.0.1 | packet count 0 | byte count 0
[2017-04-28 13:01:15.829053] nw_src None nw_dst  10.0.0.2 | packet count 0 | byte count 0
[2017-04-28 13:01:15.837720] nw_src None nw_dst  10.0.0.3 | packet count 0 | byte count 0
[2017-04-28 13:01:15.843312] nw_src None nw_dst  10.0.0.4 | packet count 0 | byte count 0
[2017-04-28 13:01:15.848896] nw_src None nw_dst  10.0.0.6 | packet count 1 | byte count 98
[2017-04-28 13:01:15.851816] nw_src None nw_dst  10.0.0.5 | packet count 1 | byte count 98
[2017-04-28 13:01:15.857045] nw_src None nw_dst  10.0.0.8 | packet count 1 | byte count 98
[2017-04-28 13:01:15.862201] nw_src None nw_dst  10.0.0.9 | packet count 4 | byte count 392
[2017-04-28 13:01:15.867245] nw_src None nw_dst  10.0.0.7 | packet count 1 | byte count 98
[2017-04-28 13:01:25.823155] nw_src None nw_dst  10.0.0.1 | packet count 0 | byte count 0
[2017-04-28 13:01:25.830152] nw_src None nw_dst  10.0.0.2 | packet count 0 | byte count 0
[2017-04-28 13:01:25.835973] nw_src None nw_dst  10.0.0.3 | packet count 0 | byte count 0
[2017-04-28 13:01:25.848284] nw_src None nw_dst  10.0.0.6 | packet count 1 | byte count 98
[2017-04-28 13:01:25.849142] nw_src None nw_dst  10.0.0.4 | packet count 0 | byte count 0
[2017-04-28 13:01:25.853750] nw_src None nw_dst  10.0.0.5 | packet count 1 | byte count 98
